X,Y,Store_Name,Address,Address_Line__2,City,State,Zip5,County,Longitude,Latitude,ObjectId
-79.956894,40.462864,Bloomfield Bp,4006 Liberty Ave,,Pittsburgh,PA,15224,ALLEGHENY,-79.956894,40.462864,52870
-79.894867,40.447014,Walgreens 10345,7628 Penn Ave,,Pittsburgh,PA,15221,ALLEGHENY,-79.894867,40.447014,52878
-80.097015,40.46941,Giant Eagle 2,1800 McKees Rocks Rd,,MC Kees Rocks,PA,15136,ALLEGHENY,-80.097015,40.46941,52931
-79.95163,40.34779,Target Stores 1270,1717 Lebanon Church Rd,,Pittsburgh,PA,15236,ALLEGHENY,-79.95163,40.34779,53560
-79.970428,40.343586,CVS Pharmacy 2333,5242 Clairton Blvd,,Pittsburgh,PA,15236,ALLEGHENY,-79.970428,40.343586,53561
-79.935013,40.468887,Garfield Community Farm Farmer's Market,509 Wicklow St,,Pittsburgh,PA,15224,ALLEGHENY,-79.935013,40.468887,53634
-79.856125,40.409607,Family Dollar Store 824,1500 Yost Blvd,,Pittsburgh,PA,15221,ALLEGHENY,-79.856125,40.409607,53636
-79.94487,40.464954,In And Out Corner Market,4900 Penn Ave,,Pittsburgh,PA,15224,ALLEGHENY,-79.94487,40.464954,53656
-79.939735,40.464542,ALDI 69091 69091,5200 Penn Ave,,Pittsburgh,PA,15224,ALLEGHENY,-79.939735,40.464542,53974
-79.90052,40.354931,Par Mar Store 67,4732 Lebanon Church Rd,,Dravosburg,PA,15034,ALLEGHENY,-79.90052,40.354931,53999
-80.054321,40.427837,Noblestown Global Food Mart,2300 Noblestown Rd,,Pittsburgh,PA,15205,ALLEGHENY,-80.054321,40.427837,54069
-80.035797,40.44043,Farmer Girl Eb,1 Noblestown Rd,,Pittsburgh,PA,15205,ALLEGHENY,-80.035797,40.44043,54070
-79.891808,40.349373,Speed Mart,209 3rd St,,Dravosburg,PA,15034,ALLEGHENY,-79.891808,40.349373,54193
-79.86721,40.442871,The Avenue,1614 Penn Ave,,Pittsburgh,PA,15221,ALLEGHENY,-79.86721,40.442871,54202
-79.877411,40.440899,Happy Mart ,1100 Penn Ave,,Pittsburgh,PA,15221,ALLEGHENY,-79.877411,40.440899,54204
-79.952065,40.464138,Community Market Bloomfield 96,4401 Liberty Ave,,Pittsburgh,PA,15224,ALLEGHENY,-79.952065,40.464138,54304
-79.880096,40.442055,Global Food Pittsburgh,914 Penn Avenue,,Pittsburgh,PA,15221,ALLEGHENY,-79.880096,40.442055,55027
-79.89325,40.446556,Sunoco,7701 Penn Ave,,Pittsburgh,PA,15221,ALLEGHENY,-79.89325,40.446556,55149
-80.169479,40.520756,La Poblanita International Inc,801 4th Ave,,Coraopolis,PA,15108,ALLEGHENY,-80.169479,40.520756,55198
-79.882164,40.442608,Puff Mart Of Pittsburgh Inc,798 Penn Ave,,Pittsburgh,PA,15221,ALLEGHENY,-79.882164,40.442608,55262
-79.948547,40.461876,Bloomfield Groceria,237 Cedarville St,,Pittsburgh,PA,15224,ALLEGHENY,-79.948547,40.461876,55276
-80.204231,40.558182,Giant Eagle 37,18 Quaker Village Shopping Ctr,,Leetsdale,PA,15056,ALLEGHENY,-80.204231,40.558182,55383
-80.204536,40.558041,Dollar Tree 5033,8 Quaker Village Shopping Ctr,,Leetsdale,PA,15056,ALLEGHENY,-80.204536,40.558041,55504
-79.878822,40.438927,Hanini Market,1105 Franklin Ave,,Pittsburgh,PA,15221,ALLEGHENY,-79.878822,40.438927,55509
-79.886116,40.427151,Edgewood Giant Eagle 1619,1705 S Braddock Ave,,Pittsburgh,PA,15218,ALLEGHENY,-79.886116,40.427151,55530
-79.848282,40.416664,Rite Aid 10934,2336 Ardmore Blvd,,Pittsburgh,PA,15221,ALLEGHENY,-79.848282,40.416664,55591
-80.094933,40.474373,7-eleven Store 36195,2 Heckel Rd,,McKees Rocks,PA,15136,ALLEGHENY,-80.094933,40.474373,55782
-80.067329,40.467594,Broadway Market Of Mckees Rocks Inc,295 Broadway Ave,,McKees Rocks,PA,15136,ALLEGHENY,-80.067329,40.467594,55794
-80.167221,40.518276,Uni-Mart,852 5th Ave,,Coraopolis,PA,15108,ALLEGHENY,-80.167221,40.518276,56006
-80.216225,40.517616,ALDI 69065,2830 Gracy Center Way,,Coraopolis,PA,15108,ALLEGHENY,-80.216225,40.517616,56469
-79.752884,40.603184,Asay's News Stand,328 E 6th Ave,,Tarentum,PA,15084,ALLEGHENY,-79.752884,40.603184,56492
-80.05455,40.631577,Giant Eagle 43,155 Towne Centre Dr,,Wexford,PA,15090,ALLEGHENY,-80.05455,40.631577,59146
-79.989426,40.412334,Sunoco,427 Brownsville Rd,,Pittsburgh,PA,15210,ALLEGHENY,-79.989426,40.412334,59349
-80.221893,40.517426,Par Mar Store 81,921 Brodhead Rd,,Coraopolis,PA,15108,ALLEGHENY,-80.221893,40.517426,59363
-79.809555,40.33849,DOLLAR GENERAL STORE  4225,1985 Lincoln Way,,White Oak,PA,15131,ALLEGHENY,-79.809555,40.33849,59560
-80.050247,40.354389,Trader Joe's 630,1600 Washington Rd,Ste 1,Pittsburgh,PA,15228,ALLEGHENY,-80.050247,40.354389,60081
-80.220886,40.517277,Walgreens 10917,6906 University Blvd,,Coraopolis,PA,15108,ALLEGHENY,-80.220886,40.517277,60296
-80.217148,40.501141,Pittsburgh Commissary 2309,79 Soldiers Ln,,Coraopolis,PA,15108,ALLEGHENY,-80.217148,40.501141,60310
-80.054329,40.496513,Bellevue Farmers Market,34 N Balph Ave,,Pittsburgh,PA,15202,ALLEGHENY,-80.054329,40.496513,60438
-80.043053,40.380306,Eden's Market,99 Alfred St,,Pittsburgh,PA,15228,ALLEGHENY,-80.043053,40.380306,60756
-79.856812,40.382706,7-eleven Store  36155 36155,818 Duquesne Blvd,,Duquesne,PA,15110,ALLEGHENY,-79.856812,40.382706,60819
-79.998718,40.439861,Target Store T3392,482 Smithfield St,,Pittsburgh,PA,15219,ALLEGHENY,-79.998718,40.439861,61394
-79.846657,40.372902,Duquesne Super Mart Inc,9 S 2nd St,,Duquesne,PA,15110,ALLEGHENY,-79.846657,40.372902,61396
-79.908501,40.365013,Dollar General 14985,5800 Buttermilk Hollow Rd,,Pittsburgh,PA,15207,ALLEGHENY,-79.908501,40.365013,61714
-79.941544,40.402439,Dylamato's Market  LLC,5414 2nd Ave,,Pittsburgh,PA,15207,ALLEGHENY,-79.941544,40.402439,63525
-79.983665,40.438534,"CIO Stores, LLC 21 21",1605 5th Ave,,Pittsburgh,PA,15219,ALLEGHENY,-79.983665,40.438534,63619
-79.975273,40.448425,ANN'S MARKET,2316 Webster Ave,,Pittsburgh,PA,15219,ALLEGHENY,-79.975273,40.448425,63630
-79.951614,40.451984,CVS PHARMACY INC 4369,4610 Centre Ave,,Pittsburgh,PA,15213,ALLEGHENY,-79.951614,40.451984,63875
-79.897614,40.315754,Dollar General Store 17160,1227 State Route 837,,Jefferson Hills,PA,15025,ALLEGHENY,-79.897614,40.315754,63891
-79.984711,40.450592,Market Outlet,1809 Penn Ave,,Pittsburgh,PA,15222,ALLEGHENY,-79.984711,40.450592,64116
-80.167442,40.457672,ALDI 52,100 Costco Dr,,Pittsburgh,PA,15205,ALLEGHENY,-80.167442,40.457672,65012
-79.780479,40.403664,Wall Avenue Express,417 Wall Ave,,Pitcairn,PA,15140,ALLEGHENY,-79.780479,40.403664,65225
-79.811325,40.380909,Getgo 3109,436 Lincoln Hwy,,East MC Keesport,PA,15035,ALLEGHENY,-79.811325,40.380909,65344
-80.069771,40.440399,Rite Aid 10922,200 Crafton Ingram Shp Ctr,,Pittsburgh,PA,15205,ALLEGHENY,-80.069771,40.440399,65354
-80.000961,40.440914,CVS Pharmacy 4008,242 5th Ave,,Pittsburgh,PA,15222,ALLEGHENY,-80.000961,40.440914,65357
-79.985374,40.450188,LABAD'S GROCERY,1727 Penn Ave,,Pittsburgh,PA,15222,ALLEGHENY,-79.985374,40.450188,65367
-79.983612,40.451324,Pennsylvania Macaroni Co Inc,2010 Penn Ave,,Pittsburgh,PA,15222,ALLEGHENY,-79.983612,40.451324,65373
-79.778458,40.401913,Broadway Market,468 Broadway,,Pitcairn,PA,15140,ALLEGHENY,-79.778458,40.401913,65488
-79.981544,40.341736,Uni- Mart Akshar Conv Corp,298 Knoedler Rd,,Pittsburgh,PA,15236,ALLEGHENY,-79.981544,40.341736,65734
-79.957047,40.325451,Damauli Bazar,600 Old Clairton Rd,,Pittsburgh,PA,15236,ALLEGHENY,-79.957047,40.325451,65744
-79.969978,40.44149,Oak Hill Market,504 Oak Hill Dr,,Pittsburgh,PA,15213,ALLEGHENY,-79.969978,40.44149,66480
-79.948906,40.452847,Dollar General 15559,4725 Centre Ave,,Pittsburgh,PA,15213,ALLEGHENY,-79.948906,40.452847,66486
-79.713905,40.446487,Rite Aid 10955,1804 Golden Mile Hwy,,Pittsburgh,PA,15239,ALLEGHENY,-79.713905,40.446487,66841
-79.968346,40.343071,Baldwin Indo Nepali Grocery Store,5403 Clairton Blvd,,Pittsburgh,PA,15236,ALLEGHENY,-79.968346,40.343071,68671
-79.976082,40.337521,Neupane Brothers Llc N/A,308 Curry Hollow Rd,,Pittsburgh,PA,15236,ALLEGHENY,-79.976082,40.337521,68982
-80.06144,40.505806,The Quick Serve,400 Union Ave,,Bellevue,PA,15202,ALLEGHENY,-80.06144,40.505806,70244
-80.094368,40.510258,7-eleven Store 2701 36191A,8136 Ohio River Blvd,,Pittsburgh,PA,15202,ALLEGHENY,-80.094368,40.510258,70945
-79.949356,40.452717,SALIMS MIDDLE EASTERN FOODS,4705 Centre Ave,,Pittsburgh,PA,15213,ALLEGHENY,-79.949356,40.452717,71713
-80.166237,40.457901,Gordon Food Service Store LLC MP 136,1 Urbano Way,,Pittsburgh,PA,15205,ALLEGHENY,-80.166237,40.457901,72231
-80.053696,40.428047,Rite Aid 7924,2270 Noblestown Rd,,Pittsburgh,PA,15205,ALLEGHENY,-80.053696,40.428047,72235
-79.98262,40.452065,Strip District Meats,2121 Penn Ave,,Pittsburgh,PA,15222,ALLEGHENY,-79.98262,40.452065,72633
-79.809319,40.336563,Rite Aid 10911,1236 Long Run Rd,,White Oak,PA,15131,ALLEGHENY,-79.809319,40.336563,72689
-80.072548,40.438969,Walgreens 1034,112 W Steuben St,,Crafton,PA,15205,ALLEGHENY,-80.072548,40.438969,72927
-79.781586,40.312626,Boston Mini Mart,2630 Coulterville Rd,,McKeesport,PA,15131,ALLEGHENY,-79.781586,40.312626,72950
-79.957176,40.440754,RITE AID 0272,209 Atwood St,,Pittsburgh,PA,15213,ALLEGHENY,-79.957176,40.440754,73000
-79.960526,40.438953,CVS Pharmacy 2348,3422 Forbes Ave,,Pittsburgh,PA,15213,ALLEGHENY,-79.960526,40.438953,73223
-79.951782,40.452148,Bombay Food Market,4605 Centre Ave,,Pittsburgh,PA,15213,ALLEGHENY,-79.951782,40.452148,73239
-79.951042,40.449333,7-eleven Store #40106a 40106A,195 N Craig St,,Pittsburgh,PA,15213,ALLEGHENY,-79.951042,40.449333,73243
-79.948479,40.445095,Kohli's Indian Imports 1,319 S Craig St,,Pittsburgh,PA,15213,ALLEGHENY,-79.948479,40.445095,73244
-79.936676,40.310543,Grace Asia Grocery,1237 Route 51,,Clairton,PA,15025,ALLEGHENY,-79.936676,40.310543,73245
-80.001556,40.357906,Giant Eagle 31,5260 Grove Rd,,Pittsburgh,PA,15236,ALLEGHENY,-80.001556,40.357906,74852
-79.943268,40.4072,"Elizabeth Pharmacy, Inc.",5041 2nd Ave,,Pittsburgh,PA,15207,ALLEGHENY,-79.943268,40.4072,74922
-80.093079,40.440647,Speedway 2903,4311 Steubenville Pike,,Pittsburgh,PA,15205,ALLEGHENY,-80.093079,40.440647,75037
-80.052467,40.432098,Noblestown Rd. Shop N Save,2103 Noblestown Rd,,Pittsburgh,PA,15205,ALLEGHENY,-80.052467,40.432098,75043
-80.07032,40.438564,CVS PHARMACY INC 4002,70 W Steuben St,,Pittsburgh,PA,15205,ALLEGHENY,-80.07032,40.438564,75365
-79.997299,40.442158,Rite Aid 10937,623 Smithfield St,,Pittsburgh,PA,15222,ALLEGHENY,-79.997299,40.442158,75368
-79.883736,40.290443,Miller Ave Food Mart,672 Miller Ave,,Clairton,PA,15025,ALLEGHENY,-79.883736,40.290443,75380
-80.161095,40.448402,Get Go 3057,6514 Steubenville Pike,,Pittsburgh,PA,15205,ALLEGHENY,-80.161095,40.448402,77704
-79.956718,40.324226,Slivas Pleasant Hills Shop N Save,649 Old Clairton Rd,,Pittsburgh,PA,15236,ALLEGHENY,-79.956718,40.324226,77715
-80.000557,40.437382,Smithfield News,115 Smithfield St,,Pittsburgh,PA,15222,ALLEGHENY,-80.000557,40.437382,77791
-79.981262,40.452946,WING FAT HONG,2306 Penn Ave,,Pittsburgh,PA,15222,ALLEGHENY,-79.981262,40.452946,77793
-80.05352,40.4282,7-eleven Store 2701 36185A,2269 Noblestown Rd,,Pittsburgh,PA,15205,ALLEGHENY,-80.05352,40.4282,77795
-80.000259,40.442364,7-eleven Store 2701 36145B,643 Liberty Ave,,Pittsburgh,PA,15222,ALLEGHENY,-80.000259,40.442364,77797
-80.070869,40.439888,GIANT EAGLE 646,51 Walsh Rd,,CRAFTON,PA,15205,ALLEGHENY,-80.070869,40.439888,77807
-79.972748,40.331169,WEISS MEATS,100 Terence Dr,,Pittsburgh,PA,15236,ALLEGHENY,-79.972748,40.331169,77828
-79.944847,40.327969,DOLLAR GENERAL STORE  8554,716 Clairton Blvd,,Pittsburgh,PA,15236,ALLEGHENY,-79.944847,40.327969,77834
-79.979202,40.338249,Rite Aid 10949,5410 Keeport Dr,,Pittsburgh,PA,15236,ALLEGHENY,-79.979202,40.338249,77940
-79.941917,40.320313,Sheetz 376,1000 Clairton Blvd,,Pittsburgh,PA,15236,ALLEGHENY,-79.941917,40.320313,77947
-79.756622,40.601704,Marathon,100 E 7th Ave,,Tarentum,PA,15084,ALLEGHENY,-79.756622,40.601704,77965
-79.794685,40.575214,Z Corner Store,520 Pittsburgh Mills Cir,,Tarentum,PA,15084,ALLEGHENY,-79.794685,40.575214,77980
-79.888,40.293449,RITE AID 3200,623 Saint Clair Ave,,Clairton,PA,15025,ALLEGHENY,-79.888,40.293449,78000
-79.84465,40.373367,Family Dollar Store 4675,27 Duquesne Blvd,,Duquesne,PA,15110,ALLEGHENY,-79.84465,40.373367,78529
-79.998291,40.442886,"Steel City Tobacco, Inc.",819 Liberty Ave,,Pittsburgh,PA,15222,ALLEGHENY,-79.998291,40.442886,79038
-80.056145,40.426785,Fuelland,2373 Noblestown Rd,,Pittsburgh,PA,15205,ALLEGHENY,-80.056145,40.426785,79046
-80.084404,40.440056,CIO Store 19,4100A Steubenville Pike,,Pittsburgh,PA,15205,ALLEGHENY,-80.084404,40.440056,79056
-79.884628,40.444256,Campbell's Caribbean Fish Market,1029 Wood St,,Pittsburgh,PA,15221,ALLEGHENY,-79.884628,40.444256,79375
-79.884163,40.442791,Save-a-lot,725 Ross Ave,,Pittsburgh,PA,15221,ALLEGHENY,-79.884163,40.442791,79481
-79.95517,40.439068,Las Palmas 2,326 Atwood St,,Pittsburgh,PA,15213,ALLEGHENY,-79.95517,40.439068,79534
-79.883018,40.293968,Family Dollar Store 4774,533 Miller Ave,,Clairton,PA,15025,ALLEGHENY,-79.883018,40.293968,79605
